id,text
0,必须开除
1,谁在说慌[发呆]
2,权利
3,经典说辞[捂脸]
4,XX
5,[星星眼][星星眼][星星眼]
6,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
7,❤️❤️❤️399任选三件冬装太火爆了[得意][得意][得意]
8,❤️❤️❤️ 姐妹们杭州新款已经到货啦，给姐妹们降温福利，399任选三件主打一个成套搭配，自由选购，喜欢就买，觉得划算就买[得意]数量有限，下手要快[呲牙]
9,当然是提前一天回家啊
10,规定是宿管阿姨定的？要是后半夜的把女生放出去女生万一出点啥事按现在的社会风气你猜宿管阿姨会不会担责任
11,以安全的名义，绑架所有自由，行自己虚荣之心
12,换我就该动手了
13,不是，理她干嘛，直接报警
14,怎么看着怪生气的呢？
15,打110啊
16,要我我直接把这个宿管给打了
17,什么学校？这么牛
18,按照这个说法  着火了也不能出去呀   校规没有规定
19,极恶
20,宿管还活着没有？
21,@东冻栋动冬 [吐舌][吐舌][吐舌]遥遥领先[图片表情]
22,一个110搞定
23,这个宿管照片发出来
24,世界
25,[奸笑][奸笑][奸笑]
26,宿管有什么权力(๑•̌.•̑๑)ˀ̣ˀ̣
27,打119啊
28,打电话给老师不行吗
29,[捂脸][捂脸][捂脸]
30,伟大时代
31,[666][666][666]
32,不吃人饭
33,这社会没有人性化了
34,罚款1千元……
35,气死了[流泪]真是气死我了[流泪]
36,有点权利不知道咋用了
37,辅导员守则基本要求没有落实好
38,蹩脚学校
39,[绿帽子][流泪][流泪]
40,这没有错
41,宿管没错，当时3点多正常都在休息，没接电话也正常，真急的话打个110，警察来沟通后肯定可以走，不然大半夜没领导通知，没人担保放出去出了事情你们负责吗？到时候估计你们又是另一副嘴脸。
42,在中国从小到大到老都要守规矩
43,班主任都不知道
44,学生骗说家里死人请假的还少吗？
45,[赞][赞][赞]
46,老子门砸了也要出去，拿着鸡毛当令箭，
47,因为学生不懂事[看]塞点红包人家会不会放你
48,这是个好地方，该讲人情的时候特别讲原则，该讲原则的时候特别讲人情。
49,我以前的老师 喜事请假不批 白事请假秒批
50,诈肚痛
51,[玫瑰][玫瑰][玫瑰]
52,为什么 不 跳墙出去[灵机一动][灵机一动][灵机一动]
53,走流程
54,教条主义害死人
55,老爸是省长，你看他开不开门。
56,没人？[无悔华夏_不愧是你]
57,[doge]浪漫之都
58,我嘞个豆
59,为什么十年都没被抓？
60,真该死，支持化学阉割
61,气笑了，无语
62,属于是逆天了
63,我看过这个新闻，这男的不仅是招募人迷奸妻子，还拍了妻子被强奸的视频。而且他们是生活在一个小镇上的，那男的找的迷奸妻子的都是小镇上的人，妻子可能在不知情的时候就和那一个强奸犯擦肩而过或者说话。
64,"?????????
这是人类？？？"
65,妻子太惨了吧
66,@D.ke [发呆]
67,@不咖啡球员 @苏苏苏。 @DRAGON
68,这么奇葩[机智][机智][机智]
69,[赞]
70,浪漫之都[不看][不看][不看][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑]
71,建议阉割处死
72,帝王绿
73,法而胜[赞][赞][赞]
74,他什么目的？或者说原因是什么？
75,[右拳][右拳][右拳]
76,法国就是这种浪漫风格啊[生气]
77,[汗][汗][汗]
78,[落泪][落泪][落泪]
79,老少通吃
80,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心]
81,@她不珍惜¤ @渣树林 [呆住][呆住]
82,[大便][大便][大便]
83,太过份了
84,[爱心][爱心][爱心][爱心][赞][赞][赞][赞][赞][赞][赞][赞]
85,中国安全点
86,怎么去是说外国人多差，不说说中国
87,牛批[捂脸][捂脸]
88,没壳硬背[捂脸][捂脸][捂脸]
89,我的天[发呆][发呆][发呆]
90,招募给钱吗
91,集装箱50万[看]
92,一百五十万两个月，一天平均2.5万，最少卖20块钱一根，一天卖1500根能不赔钱，你就说这景区东西卖的贵他是有原因的
93,我就记住糖葫芦摊位100要两月
94,算了，大家不要去了
