id,text
0,学生 白事 请假 宿管 不放行_2
1,学生 白事 请假 宿管 不放行_0
2,学生 白事 请假 宿管 不放行_3
3,学生 白事 请假 宿管 不放行_4
4,学生 白事 请假 宿管 不放行_1
5,法国 反性暴力 示威_5
6,法国 反性暴力 示威_6
7,法国 反性暴力 示威_0
8,法国 反性暴力 示威_7
9,法国 反性暴力 示威_4
10,法国 反性暴力 示威_1
11,法国 反性暴力 示威_3
12,法国 反性暴力 示威_2
13,英国雇佣兵 俄库尔斯克州 被俘_0
14,以色列导弹 黎巴嫩建筑_0
15,以色列导弹 黎巴嫩建筑_1
16,香港 海南舰 无人机 被拘_2
17,香港 海南舰 无人机 被拘_5
18,香港 海南舰 无人机 被拘_1
19,香港 海南舰 无人机 被拘_0
20,香港 海南舰 无人机 被拘_6
21,香港 海南舰 无人机 被拘_3
22,香港 海南舰 无人机 被拘_4
23,大学生 缅甸 方言 求救_0
24,大学生 缅甸 方言 求救_3
25,大学生 缅甸 方言 求救_1
26,大学生 缅甸 方言 求救_2
27,女子 暴瘦 肠液 胖回_0
28,特朗普 调查 2020大选 舞弊_1
29,特朗普 调查 2020大选 舞弊_0
30,特朗普 调查 2020大选 舞弊_2
31,特朗普 调查 2020大选 舞弊_3
32,渔船 冲撞 执法舰艇 17人 被抓_6
33,渔船 冲撞 执法舰艇 17人 被抓_2
34,渔船 冲撞 执法舰艇 17人 被抓_1
35,渔船 冲撞 执法舰艇 17人 被抓_3
36,渔船 冲撞 执法舰艇 17人 被抓_4
37,渔船 冲撞 执法舰艇 17人 被抓_0
38,渔船 冲撞 执法舰艇 17人 被抓_5
39,渔船 冲撞 执法舰艇 17人 被抓_7
40,时代少年团 安可曲 通报_1
41,时代少年团 安可曲 通报_0
42,国台办 台当局 购买武器 安全_0
43,国台办 台当局 购买武器 安全_3
44,国台办 台当局 购买武器 安全_1
45,国台办 台当局 购买武器 安全_2
46,国台办 台当局 购买武器 安全_4
47,县委副书记 出轨 落马_3
48,县委副书记 出轨 落马_5
49,县委副书记 出轨 落马_0
50,县委副书记 出轨 落马_9
51,县委副书记 出轨 落马_4
52,县委副书记 出轨 落马_7
53,县委副书记 出轨 落马_6
54,县委副书记 出轨 落马_1
55,县委副书记 出轨 落马_8
56,县委副书记 出轨 落马_2
57,文化产业 发展优势_0
58,文化产业 发展优势_1
59,抗癌网红 去世 通话_1
60,抗癌网红 去世 通话_2
61,抗癌网红 去世 通话_0
62,美国副国务卿 拆散中俄_8
63,美国副国务卿 拆散中俄_6
64,美国副国务卿 拆散中俄_0
65,美国副国务卿 拆散中俄_2
66,美国副国务卿 拆散中俄_5
67,美国副国务卿 拆散中俄_9
68,美国副国务卿 拆散中俄_4
69,美国副国务卿 拆散中俄_1
70,美国副国务卿 拆散中俄_7
71,中国气象局 暴雪 应急响应_10
72,中国气象局 暴雪 应急响应_11
73,中国气象局 暴雪 应急响应_3
74,中国气象局 暴雪 应急响应_4
75,中国气象局 暴雪 应急响应_9
76,中国气象局 暴雪 应急响应_5
77,中国气象局 暴雪 应急响应_1
78,中国气象局 暴雪 应急响应_12
79,中国气象局 暴雪 应急响应_0
80,中国气象局 暴雪 应急响应_2
81,中国气象局 暴雪 应急响应_8
82,中国气象局 暴雪 应急响应_6
83,中国气象局 暴雪 应急响应_7
84,中国气象局 暴雪 应急响应_13
85,员工 运费 打人 保时捷 致歉_8
86,员工 运费 打人 保时捷 致歉_14
87,员工 运费 打人 保时捷 致歉_6
88,员工 运费 打人 保时捷 致歉_15
89,员工 运费 打人 保时捷 致歉_18
90,员工 运费 打人 保时捷 致歉_0
91,员工 运费 打人 保时捷 致歉_19
92,员工 运费 打人 保时捷 致歉_3
93,员工 运费 打人 保时捷 致歉_5
94,员工 运费 打人 保时捷 致歉_11
95,员工 运费 打人 保时捷 致歉_1
96,员工 运费 打人 保时捷 致歉_20
97,员工 运费 打人 保时捷 致歉_17
98,员工 运费 打人 保时捷 致歉_4
99,员工 运费 打人 保时捷 致歉_16
100,员工 运费 打人 保时捷 致歉_7
101,员工 运费 打人 保时捷 致歉_25
102,员工 运费 打人 保时捷 致歉_23
103,员工 运费 打人 保时捷 致歉_22
104,员工 运费 打人 保时捷 致歉_9
105,员工 运费 打人 保时捷 致歉_13
106,员工 运费 打人 保时捷 致歉_21
107,员工 运费 打人 保时捷 致歉_12
108,员工 运费 打人 保时捷 致歉_24
109,员工 运费 打人 保时捷 致歉_10
110,员工 运费 打人 保时捷 致歉_2
111,佛州 囚犯 生子_0
112,男子 网购机制 0元开店 获利数百万_0
113,叙利亚 叛军 推倒 总统父亲雕像_0
114,省委原常委 落马 妻子 追讨债务_0
115,华人 女子 失踪 尸体 后院发现_0
116,小学生 多人殴打 官方通报_0
117,西方官员 乌克兰 核武 中方回应_0
118,黑龙江煤矿爆炸事故 46人被处理_0
119,俄军 空袭 阿勒颇 反对派据点_0
120,特朗普 1.5万 跨性别士兵 退伍_0
121,李显龙 访三地 中方_0
122,年轻人 苦痛 网红 笑料_0
123,特朗普 上任 关税 大棒 挨批_0
124,通缉 以总理 普京 不同_0
125,蒙古球迷 中国男篮主帅 水瓶_0
126,以色列公民 阿联酋 暗杀_0
127,中行 原董事长 刘连舸 贪1.21亿 死缓_0
128,中行 原董事长 刘连舸 贪1.21亿 死缓_1
129,泰国 寺庙 41具遗体_11
130,泰国 寺庙 41具遗体_10
131,泰国 寺庙 41具遗体_2
132,泰国 寺庙 41具遗体_4
133,泰国 寺庙 41具遗体_6
134,泰国 寺庙 41具遗体_7
135,泰国 寺庙 41具遗体_0
136,泰国 寺庙 41具遗体_5
137,泰国 寺庙 41具遗体_3
138,泰国 寺庙 41具遗体_1
139,泰国 寺庙 41具遗体_12
140,泰国 寺庙 41具遗体_9
141,泰国 寺庙 41具遗体_8
142,广东四川 报告 15111例 流感病例_0
143,广东四川 报告 15111例 流感病例_1
144,广东四川 报告 15111例 流感病例_2
145,美媒 黎以 停火协议 一致_6
146,美媒 黎以 停火协议 一致_9
147,美媒 黎以 停火协议 一致_0
148,美媒 黎以 停火协议 一致_5
149,美媒 黎以 停火协议 一致_7
150,美媒 黎以 停火协议 一致_8
151,美媒 黎以 停火协议 一致_3
152,美媒 黎以 停火协议 一致_1
153,美媒 黎以 停火协议 一致_4
154,美媒 黎以 停火协议 一致_2
155,克宫 谴责 核武器 言论_3
156,克宫 谴责 核武器 言论_0
157,克宫 谴责 核武器 言论_2
158,克宫 谴责 核武器 言论_1
159,俄军 乌龟坦克 乌军 进攻_1
160,俄军 乌龟坦克 乌军 进攻_0
161,俄军 乌龟坦克 乌军 进攻_2
162,俄军 乌龟坦克 乌军 进攻_3
163,美议员 帮抓 以领导人 制裁_0
164,中国恒大 许家印 高消费限制_0
165,菲前总统 炮轰 马科斯 吸毒_3
166,菲前总统 炮轰 马科斯 吸毒_2
167,菲前总统 炮轰 马科斯 吸毒_0
168,菲前总统 炮轰 马科斯 吸毒_1
169,长沙女生 老师 头骨案 宣判_0
170,女孩 应聘家教 脱衣服拍照_0
171,昆明 广告牌 坠落 3死7伤_5
172,昆明 广告牌 坠落 3死7伤_4
173,昆明 广告牌 坠落 3死7伤_2
174,昆明 广告牌 坠落 3死7伤_0
175,昆明 广告牌 坠落 3死7伤_6
176,昆明 广告牌 坠落 3死7伤_7
177,昆明 广告牌 坠落 3死7伤_1
178,昆明 广告牌 坠落 3死7伤_3
179,俄军 无人自爆车 乌军 据点_1
180,俄军 无人自爆车 乌军 据点_10
181,俄军 无人自爆车 乌军 据点_9
182,俄军 无人自爆车 乌军 据点_3
183,俄军 无人自爆车 乌军 据点_6
184,俄军 无人自爆车 乌军 据点_5
185,俄军 无人自爆车 乌军 据点_11
186,俄军 无人自爆车 乌军 据点_0
187,俄军 无人自爆车 乌军 据点_8
188,俄军 无人自爆车 乌军 据点_4
189,俄军 无人自爆车 乌军 据点_2
190,美巡逻机 台海 解放军 跟监 警戒_0
191,专家 俄乌 高度 疲劳_0
192,专家 俄乌 高度 疲劳_1
193,中国公民 美错误羁押 回国_2
194,中国公民 美错误羁押 回国_0
195,中国公民 美错误羁押 回国_7
196,中国公民 美错误羁押 回国_5
197,中国公民 美错误羁押 回国_4
198,中国公民 美错误羁押 回国_3
199,中国公民 美错误羁押 回国_1
200,中国公民 美错误羁押 回国_6
201,偷狗车 400只狗待解救_2
202,偷狗车 400只狗待解救_1
203,偷狗车 400只狗待解救_0
204,暴露狂 尾随 司机 撬棍 吓跑_0
205,暴露狂 尾随 司机 撬棍 吓跑_1
