id,text
0,11月25日热点事件：三名男子点外卖吃掉再退款、学生因家中白事请假 宿管却不放行、保时捷工作人员不付运费还打人、解救被尾随小女孩的司机找到了、严禁利用算法实施大数据杀熟、羊毛月道歉、七万件羽绒服含绒量为0、文件200余字却出现七处错别字、石破茂回应中国对日本恢复免签。
1,学生因家人危重凌晨请假后宿管不放行引争议 #学生 #家人 #请假 #宿管
2,11月25日，广东广州， #校方回应学生因家中白事请假被拦：  涉事宿管调离原岗位，学生不存在下跪情况，接到电话时亲人已离世。
3,#第五 #第五人格 @盎娇 @大胆！朕乃天子💅
4,学生家里办白事凌晨请假宿管不放行
5,亲人离世提前请假却被关在宿舍出不去，手中的一点权利就无限放大#学生请假奔丧宿管不放行 #教育#大学生#学生因家中白事请假宿管未放行
6,男子10年多次迷晕妻子邀人性侵 法国最大强奸案将宣判！多地爆发反性暴力示威
7,法国最大强奸案将宣判，多地爆发反性暴力示威：男子迷晕妻子后招募70余人强奸，面临最高20年监禁
8,11月25日，国际消除对妇女暴力日，法国多地爆发大规模游行，抗议女性暴力。涉及“马赞强奸案”，法国男子多米尼克被控在2011至2020年间迷晕妻子并招募70余人实施强奸。现年72岁的吉赛尔经过慎重考虑，宣布放弃匿名权，让法院公开审理此案，并当庭播放强奸视频，希望能借此帮助其他遭受过强奸的女性受害者。
9,法国最大强奸案将宣判，多地爆发反性暴力示威。（剪辑：祁泉）
10,#法国最大强奸案 #浪漫法国 #热点新闻
11,...
12,#法国最大强奸案将宣判，多地爆发反性暴力示威
13,#法国最大强奸案将宣判 ，多地爆发反性暴力示威
14,法国最大强奸案将宣判，多地爆发反性暴力示威
15,法国史上规模最大强奸案将宣判
16,法国最大强奸案将宣判，多地爆发反性暴力示威。
17,11月24日，据塔斯社援引执法部门的消息报道，英国雇佣兵詹姆斯·斯考特·里斯·安德森在俄罗斯库尔斯克州被俘。
18,#黎巴嫩一建筑遭以导弹拦腰斩断 #以色列
19,香港两男子在海南舰附近违法放飞无人机拍摄被拘
20,香港两男子在海南舰附近违法放飞无人机拍摄被拘！（剪辑：鲲鹏）
21,最高可判罚款10万港币监禁两年，香港两男子在海南舰附近违法放飞无人机拍摄被拘
